country,year,scenario_type,plastic_type,value
World,2039,Regional action policy,Macroplastics,20506000.0
World,2039,Regional action policy,Microplastics,3959000.0
World,2039,Regional action policy,Total,24465000.0
World,2040,Baseline,Macroplastics,27353000.0
World,2040,Baseline,Microplastics,4129000.2
World,2040,Baseline,Total,31483000.0
World,2040,Global ambition policy,Macroplastics,13462000.0
World,2040,Global ambition policy,Microplastics,3836000.0
World,2040,Global ambition policy,Total,17298000.0
World,2040,Regional action policy,Macroplastics,20558000.0
World,2040,Regional action policy,Microplastics,4026000.0
World,2040,Regional action policy,Total,24584000.0
World,2041,Baseline,Macroplastics,27891000.0
World,2041,Baseline,Microplastics,4204000.0
World,2041,Baseline,Total,32095002.0
World,2041,Global ambition policy,Macroplastics,13148000.0
World,2041,Global ambition policy,Microplastics,3901000.0
World,2041,Global ambition policy,Total,17049000.0
World,2041,Regional action policy,Macroplastics,20559000.0
World,2041,Regional action policy,Microplastics,4094999.8
World,2041,Regional action policy,Total,24654000.0
World,2042,Baseline,Macroplastics,28430000.0
World,2042,Baseline,Microplastics,4279000.0
World,2042,Baseline,Total,32709000.0
World,2042,Global ambition policy,Macroplastics,12826000.0
World,2042,Global ambition policy,Microplastics,3966000.0
World,2042,Global ambition policy,Total,16792000.0
World,2042,Regional action policy,Macroplastics,20557000.0
World,2042,Regional action policy,Microplastics,4163000.0
World,2042,Regional action policy,Total,24720000.0
World,2043,Baseline,Macroplastics,28974000.0
World,2043,Baseline,Microplastics,4354000.0
World,2043,Baseline,Total,33327000.0
World,2043,Global ambition policy,Macroplastics,12497000.0
World,2043,Global ambition policy,Microplastics,4031000.2
World,2043,Global ambition policy,Total,16528000.0
World,2043,Regional action policy,Macroplastics,20547000.0
World,2043,Regional action policy,Microplastics,4232000.0
World,2043,Regional action policy,Total,24778000.0
World,2044,Baseline,Macroplastics,29521000.0
World,2044,Baseline,Microplastics,4429000.0
World,2044,Baseline,Total,33950000.0
World,2044,Global ambition policy,Macroplastics,12150000.0
World,2044,Global ambition policy,Microplastics,4097000.0
World,2044,Global ambition policy,Total,16247000.0
World,2044,Regional action policy,Macroplastics,20522000.0
World,2044,Regional action policy,Microplastics,4300000.0
World,2044,Regional action policy,Total,24823000.0
World,2045,Baseline,Macroplastics,30066000.0
World,2045,Baseline,Microplastics,4505000.0
World,2045,Baseline,Total,34572000.0
World,2045,Global ambition policy,Macroplastics,11777000.0
World,2045,Global ambition policy,Microplastics,4162000.2
World,2045,Global ambition policy,Total,15940000.0
World,2045,Regional action policy,Macroplastics,20470000.0
World,2045,Regional action policy,Microplastics,4370000.0
World,2045,Regional action policy,Total,24839000.0
World,2046,Baseline,Macroplastics,30609000.0
World,2046,Baseline,Microplastics,4582000.0
World,2046,Baseline,Total,35191000.0
World,2046,Global ambition policy,Macroplastics,11381000.0
World,2046,Global ambition policy,Microplastics,4229000.0
World,2046,Global ambition policy,Total,15610000.0
World,2046,Regional action policy,Macroplastics,20375000.0
World,2046,Regional action policy,Microplastics,4440000.0
World,2046,Regional action policy,Total,24815000.0
World,2047,Baseline,Macroplastics,31145000.0
World,2047,Baseline,Microplastics,4659000.0
World,2047,Baseline,Total,35805000.0
World,2047,Global ambition policy,Macroplastics,10956000.0
World,2047,Global ambition policy,Microplastics,4295000.0
World,2047,Global ambition policy,Total,15251000.0
World,2047,Regional action policy,Macroplastics,20247000.0
World,2047,Regional action policy,Microplastics,4511000.0
World,2047,Regional action policy,Total,24758000.0
World,2048,Baseline,Macroplastics,31679000.0
World,2048,Baseline,Microplastics,4737000.0
World,2048,Baseline,Total,36415000.0
World,2048,Global ambition policy,Macroplastics,10496000.0
World,2048,Global ambition policy,Microplastics,4362000.0
World,2048,Global ambition policy,Total,14858000.0
World,2048,Regional action policy,Macroplastics,20091000.0
World,2048,Regional action policy,Microplastics,4582000.0
World,2048,Regional action policy,Total,24673000.0
World,2049,Baseline,Macroplastics,32208000.0
World,2049,Baseline,Microplastics,4815000.0
World,2049,Baseline,Total,37023000.0
World,2049,Global ambition policy,Macroplastics,9999000.0
World,2049,Global ambition policy,Microplastics,4429000.0
World,2049,Global ambition policy,Total,14429000.0
World,2049,Regional action policy,Macroplastics,19905000.0
World,2049,Regional action policy,Microplastics,4654000.0
World,2049,Regional action policy,Total,24559000.0
World,2050,Baseline,Macroplastics,32744998.0
World,2050,Baseline,Microplastics,4894000.0
World,2050,Baseline,Total,37638000.0
World,2050,Global ambition policy,Macroplastics,9466000.0
World,2050,Global ambition policy,Microplastics,4497000.0
World,2050,Global ambition policy,Total,13963000.0
World,2050,Regional action policy,Macroplastics,19686000.0
World,2050,Regional action policy,Microplastics,4727000.0
World,2050,Regional action policy,Total,24413000.0
World,2051,Baseline,Macroplastics,33307000.0
World,2051,Baseline,Microplastics,4977000.0
World,2051,Baseline,Total,38284000.0
World,2051,Global ambition policy,Macroplastics,8735000.0
World,2051,Global ambition policy,Microplastics,4568000.0
World,2051,Global ambition policy,Total,13304000.0
World,2051,Regional action policy,Macroplastics,19289000.0
World,2051,Regional action policy,Microplastics,4803000.0
World,2051,Regional action policy,Total,24093000.0
World,2052,Baseline,Macroplastics,33865000.0
World,2052,Baseline,Microplastics,5061000.0
World,2052,Baseline,Total,38926000.0
World,2052,Global ambition policy,Macroplastics,7964000.0
World,2052,Global ambition policy,Microplastics,4641000.0
World,2052,Global ambition policy,Total,12605000.0
World,2052,Regional action policy,Macroplastics,18868000.0
World,2052,Regional action policy,Microplastics,4882000.0
World,2052,Regional action policy,Total,23749000.0
World,2053,Baseline,Macroplastics,34421000.0
World,2053,Baseline,Microplastics,5147000.0
World,2053,Baseline,Total,39568000.0
World,2053,Global ambition policy,Macroplastics,7151000.0
World,2053,Global ambition policy,Microplastics,4715000.0
World,2053,Global ambition policy,Total,11866000.0
World,2053,Regional action policy,Macroplastics,18418000.0
World,2053,Regional action policy,Microplastics,4961000.0
World,2053,Regional action policy,Total,23379000.0
World,2054,Baseline,Macroplastics,34975000.0
World,2054,Baseline,Microplastics,5234000.0
World,2054,Baseline,Total,40210000.0
World,2054,Global ambition policy,Macroplastics,6293000.0
World,2054,Global ambition policy,Microplastics,4791000.0
World,2054,Global ambition policy,Total,11084000.0
World,2054,Regional action policy,Macroplastics,17939000.0
World,2054,Regional action policy,Microplastics,5041000.0
World,2054,Regional action policy,Total,22981000.0
World,2055,Baseline,Macroplastics,35537000.0
World,2055,Baseline,Microplastics,5323000.0
World,2055,Baseline,Total,40860000.0
World,2055,Global ambition policy,Macroplastics,5391000.0
World,2055,Global ambition policy,Microplastics,4867000.0
World,2055,Global ambition policy,Total,10258000.0
World,2055,Regional action policy,Macroplastics,17435000.0
World,2055,Regional action policy,Microplastics,5123000.0
World,2055,Regional action policy,Total,22558000.0
World,2056,Baseline,Macroplastics,36106000.0
World,2056,Baseline,Microplastics,5413000.0
World,2056,Baseline,Total,41519000.0
World,2056,Global ambition policy,Macroplastics,4443000.0
World,2056,Global ambition policy,Microplastics,4944000.0
World,2056,Global ambition policy,Total,9387000.0
World,2056,Regional action policy,Macroplastics,16902000.0
World,2056,Regional action policy,Microplastics,5206000.0
World,2056,Regional action policy,Total,22108000.0
World,2057,Baseline,Macroplastics,36674000.0
World,2057,Baseline,Microplastics,5504000.0
World,2057,Baseline,Total,42178000.0
World,2057,Global ambition policy,Macroplastics,3588000.0
World,2057,Global ambition policy,Microplastics,5023000.0
World,2057,Global ambition policy,Total,8610000.0
World,2057,Regional action policy,Macroplastics,16341999.0
World,2057,Regional action policy,Microplastics,5290000.0
World,2057,Regional action policy,Total,21632000.0
World,2058,Baseline,Macroplastics,37238000.0
World,2058,Baseline,Microplastics,5597000.0
World,2058,Baseline,Total,42835000.0
World,2058,Global ambition policy,Macroplastics,2756000.0
World,2058,Global ambition policy,Microplastics,5103000.0
World,2058,Global ambition policy,Total,7859000.0
World,2058,Regional action policy,Macroplastics,15754000.0
World,2058,Regional action policy,Microplastics,5376000.0
World,2058,Regional action policy,Total,21130000.0
World,2059,Baseline,Macroplastics,37799000.0
World,2059,Baseline,Microplastics,5692000.0
World,2059,Baseline,Total,43491000.0
World,2059,Global ambition policy,Macroplastics,1928000.0
World,2059,Global ambition policy,Microplastics,5184000.0
World,2059,Global ambition policy,Total,7112000.0
World,2059,Regional action policy,Macroplastics,15139000.0
World,2059,Regional action policy,Microplastics,5463000.0
World,2059,Regional action policy,Total,20602000.0
World,2060,Baseline,Macroplastics,38365000.0
World,2060,Baseline,Microplastics,5788000.0
World,2060,Baseline,Total,44153000.0
World,2060,Global ambition policy,Macroplastics,1174000.0
World,2060,Global ambition policy,Microplastics,5267000.0
World,2060,Global ambition policy,Total,6441000.0
World,2060,Regional action policy,Macroplastics,14514000.0
World,2060,Regional action policy,Microplastics,5552000.0
World,2060,Regional action policy,Total,20066000.0
