country,date,life_expectancy,fertility_rate,GDP,GDP_per_capita,GDP_PPP,GNI,GNI_per_capita,GNI_PPP,political_stability,interest_rates,income_tax,education_pct_government_expenditure,government_effectiveness,labour_participation,migration,rural_living_pct_popoluation,health_pct_government_expenditure,government_expenditure_pct_GDP,R&D_expenditure_pct_GDP,current_account_pct_GDP,inflation,forest_area,global_carbon_budget,environmental_occupational_risks,greenhouse_gas_emissions,renewable_electricity_capacity,trade_transport_quality,literacy_rate,alcohol_use_disorders,income_inequality,wealth_inequality,child_mortality,body_mass_index,hours_to_file_taxes,drug_use,mental_health,pedestrian_road_injuries,pollution,bullying_victimisation,forest_depletion_pct_GNI,unsafe_water,unemployment
Japan,2020 QR:1,0.8731448527067727,0.25665220210752304,0.33605545928237035,0.6416233794656137,0.3844529819353544,0.3417065949788487,0.7506098607041025,0.3871497043685581,0.7517948035612092,0.3211722184893162,NaN,0.35452263207430734,0.9596786528146968,0.4803775418948828,0.39120997048163364,0.1422412228158052,1.066273649814903,0.5898279600943068,0.9966998100201965,0.6216107047793646,0.38522412111435855,0.8738534565866947,0.6887040486150728,0.3243139670018632,0.5689269693107484,0.540168861217591,0.9176236729883627,NaN,0.262597754639629,0.3999127807378233,0.32728909110791293,0.2883258002606386,0.24351966681045223,0.3166501505979227,0.16872856876340592,0.16198661915863966,0.2418370685850122,0.2943232654178538,0.05930020424425697,0.4046221098114088,0.37449487512629265,0.2860904228912009
Japan,2020 QR:2,0.8736012404051157,0.25701298856342714,0.3339843300021421,0.6382276583729407,0.38396210103683925,0.3396465475751853,0.7476374260583363,0.38665394689562316,0.7515590412718145,0.3196922231286745,NaN,0.35439216848055044,0.9617035494899131,0.48022629536024564,0.3918875648609994,0.14121039370192,1.070017526605163,0.5907895230130524,0.9966419119503753,0.6219535006807786,0.3865825101695535,0.8741805792827897,0.6891571916914514,0.32446552507639626,0.5704932707718857,0.5404273705980223,0.9167252542192319,NaN,0.262387186954117,0.3988798518337937,0.3271926340915605,0.2884811912314931,0.24278500620327215,0.31252741599224265,0.16627070821825285,0.16018561465745407,0.24156993606916144,0.2948263530716715,0.05913121056174364,0.40459931246071035,0.3747527477622943,0.2850144389298297
Japan,2020 QR:3,0.8740576281034587,0.2573737750193317,0.3319132007219139,0.6348319372802678,0.38347122013832413,0.3375865001715219,0.74466499141257,0.3861581894226882,0.7513232789824196,0.3182122277680346,NaN,0.35426170488679376,0.963728446165133,0.4800750488256085,0.3925651592403643,0.1401795645880366,1.073761403395423,0.591751085931798,0.9965840138805542,0.622296296582193,0.38794089922475017,0.8745077019788847,0.6896103347678295,0.3246170831509293,0.5720595722330248,0.5406858799784535,0.9158268354501011,NaN,0.262176619268605,0.3978469229297623,0.3270961770752081,0.2886365822023478,0.24205034559609295,0.3084046813865555,0.16381284767309978,0.1583846101562667,0.24130280355331024,0.29532944072549006,0.05896221687923031,0.4045765151100118,0.37501062039829547,0.28393845496846026
Japan,2021 QR:0,0.8745140158018017,0.25773456147523577,0.3298420714416821,0.6314362161875948,0.382980339239809,0.335526452767855,0.7416925567668038,0.38566243194975236,0.7510875166930249,0.3167322324073929,NaN,0.35413124129303686,0.9657533428403493,0.4799238022909713,0.39324275361973005,0.1391487354741514,1.0775052801856866,0.5927126488505445,0.9965261158107331,0.6226390924836074,0.3892992882799451,0.8748348246749797,0.6900634778442081,0.32476864122546234,0.573625873694164,0.5409443893588848,0.9149284166809704,NaN,0.26196605158309283,0.3968139940257309,0.3269997200588557,0.28879197317320227,0.24131568498891287,0.3042819467808684,0.16135498712794671,0.15658360565507934,0.2410356710374595,0.29583252837930774,0.058793223196717204,0.40455371775931337,0.3752684930342971,0.28286247100708906
Japan,2025,0.8818162189752905,0.26350714476970394,0.2967040029580197,0.5771046787048455,0.3751262448635684,0.30256569430922653,0.6941336024345439,0.37773031238278687,0.7473153200627074,0.29305230663712756,NaN,0.3520438237929284,0.998151689643846,0.4775038577367763,0.40408426368957606,0.12265546965200258,1.1374073088298644,0.6080976555504787,0.9955997466935953,0.6281238269062359,0.4110335131630798,0.8800687878124984,0.6973137670662628,0.327193570417991,0.598686697072381,0.5450805394457832,0.900553716374878,NaN,0.2585969686149001,0.3802871315612357,0.3254564077972172,0.2912782287068745,0.2295611152740369,0.23831819308990276,0.12202921840550118,0.12776753363608329,0.23676155078384387,0.30388193084039683,0.05608932427650459,0.4041889601481374,0.3793944552103188,0.2656467276251604
Japan,2030,0.8909439729421518,0.27072287388778893,0.25528141735343723,0.5091902568514044,0.36530862689326726,0.2613647462359374,0.6346849095192226,0.3678151629240807,0.7426000742748107,0.26345239942429544,NaN,0.3494345519177926,1.0386496231482152,0.4744789270440326,0.41763615127688336,0.10203888737431654,1.2122848446350893,0.6273289139253979,0.994441785297173,0.634979744934522,0.4382012942669977,0.8866112417343968,0.7063766285938313,0.33022473190865187,0.6300127262951545,0.5502507270544061,0.8825853409922626,NaN,0.2543856149046593,0.35962855348061673,0.3235272674701689,0.29438604812396507,0.21486790313044235,0.15586350097619572,0.07287200750244338,0.09174744361233778,0.23141890046682434,0.3139436839167584,0.05270945062623911,0.40373301313416743,0.38455190793034566,0.24412704839774868
Japan,2035,0.9000717269090126,0.2779386030058739,0.21385883174885478,0.44127583499796685,0.3554910089229666,0.2201637981626483,0.5752362166039013,0.3579000134653736,0.737884828486914,0.23385249221146331,NaN,0.346825280042657,1.0791475566525843,0.4714539963512887,0.43118803886419155,0.08142230509663229,1.2871623804403107,0.6465601723003163,0.9932838239007507,0.6418356629628081,0.46536907537091565,0.8931536956562951,0.7154394901213994,0.3332558933993125,0.6613387555179262,0.5554209146630291,0.8646169656096481,NaN,0.25017426119441843,0.3389699753999995,0.32159812714312075,0.29749386754105545,0.20017469098684781,0.07340880886248868,0.02371479659938558,0.05572735358859404,0.22607625014980437,0.32400543699312,0.04932957697597362,0.40327706612019754,0.389709360650373,0.22260736917033697
Japan,2040,0.9091994808758739,0.28515433212395935,0.17243624614427233,0.37336141314452576,0.34567339095266547,0.1789628500893592,0.51578752368858,0.3479848640066674,0.733169582699017,0.2042525849986312,NaN,0.3442160081675212,1.119645490156957,0.46842906565854503,0.44473992645149973,0.06080572281894625,1.3620399162455357,0.6657914306752346,0.9921258625043282,0.6486915809910938,0.4925368564748336,0.8996961495781939,0.7245023516489679,0.33628705488997335,0.6926647847406997,0.5605911022716521,0.8466485902270326,NaN,0.24596290748417737,0.3183113973193805,0.3196689868160725,0.30060168695814604,0.18548147884325328,-0.009045883251218356,-0.025442414303675775,0.019707263564850308,0.22073359983278484,0.3340671900694825,0.045949703325708136,0.40282111910622753,0.3948668133704003,0.20108768994292525
Japan,2045,0.9183272348427347,0.29237006124204434,0.13101366053968988,0.3054469912910882,0.3358557729823648,0.13776190201607008,0.45633883077325876,0.3380697145479603,0.7284543369111203,0.17465267778579907,NaN,0.3416067362923856,1.1601434236613262,0.46540413496580113,0.45829181403880703,0.040189140541260215,1.4369174520507606,0.685022689050153,0.9909679011079059,0.6555474990193799,0.5197046375787515,0.9062386035000922,0.7335652131765364,0.3393182163806342,0.7239908139634714,0.5657612898802751,0.8286802148444172,NaN,0.24175155377393653,0.2976528192387615,0.3177398464890243,0.3037095063752364,0.17078826669965785,-0.0915005753649254,-0.07459962520673358,-0.016312826458895202,0.21539094951576532,0.3441289431458441,0.04256982967544243,0.40236517209225764,0.4000242660904272,0.1795680107155153
Japan,2050,0.927454988809596,0.29958579036012933,0.08959107493510743,0.2375325694376471,0.3260381550120641,0.09656095394278097,0.3968901378579375,0.3281545650892541,0.7237390911232235,0.14505277057296695,NaN,0.33899746441724976,1.2006413571656953,0.46237920427305745,0.4718437016261152,0.01957255826357418,1.5117949878559855,0.7042539474250713,0.9898099397114836,0.6624034170476656,0.5468724186826694,0.9127810574219906,0.7426280747041045,0.34234937787129505,0.7553168431862449,0.570931477488898,0.8107118394618018,NaN,0.23754020006369547,0.27699424115814253,0.31581070616197604,0.3068173257923268,0.15609505455606332,-0.17395526747863244,-0.12375683610979138,-0.052332916482638936,0.2100482991987458,0.35419069622220567,0.03918995602517694,0.4019092250782877,0.4051817188104545,0.1580483314881036
