,index,country,year,population,emissions_total_per_capita,share_pop_using_internet,gdp_per_capita,share_electricity_access,life_expectancy_at_birth,deaths__interpersonal_violence__sex__both__age__all_ages__rate
132,27204,Greenland,1960,32145,6.9529943,,,,59.887,
133,27205,Greenland,1961,33458,8.760835,,,,59.7864,
134,27206,Greenland,1962,34693,7.60407,,,,59.4818,
135,27207,Greenland,1963,35940,9.175292,,,,59.4313,
136,27208,Greenland,1964,37227,8.464395,,,,60.2814,
137,27209,Greenland,1965,38555,8.933108,,,,61.0555,
138,27210,Greenland,1966,39964,9.718347,,,,61.7662,
139,27211,Greenland,1967,41389,10.091957,,,,61.4577,
140,27212,Greenland,1968,42765,12.680276,,,,62.6625,
141,27213,Greenland,1969,44125,9.217088,,,,63.1548,
142,27214,Greenland,1970,45457,8.382779,,15375.203,,63.5079,
143,27215,Greenland,1971,46503,10.085198,,17088.703,,63.7149,
144,27216,Greenland,1972,47262,11.706318,,17731.094,,63.7523,
145,27217,Greenland,1973,47987,11.60581,,18667.332,,63.292,
146,27218,Greenland,1974,48628,11.452826,,19533.219,,62.8806,
147,27219,Greenland,1975,49172,10.282925,,19619.814,,62.3615,
148,27220,Greenland,1976,49589,4.4332414,,20747.172,,62.7964,
149,27221,Greenland,1977,49762,14.505205,,22714.662,,63.0015,
150,27222,Greenland,1978,49756,7.8794117,,24179.23,,63.2226,
151,27223,Greenland,1979,49780,11.482202,,25150.016,,63.3623,
152,27224,Greenland,1980,50127,11.256529,,27005.354,,63.4223,
153,27225,Greenland,1981,50739,10.398628,,26758.584,,63.5555,
154,27226,Greenland,1982,51363,10.0582905,,25327.635,,63.4703,
155,27227,Greenland,1983,52002,6.975424,,25901.5,,63.2561,
156,27228,Greenland,1984,52656,10.785476,,24280.283,,63.3268,
157,27229,Greenland,1985,53239,9.56622,,24931.523,,63.5982,
158,27230,Greenland,1986,53744,6.0675797,,26551.268,,63.9398,
159,27231,Greenland,1987,54270,4.320914,,27705.092,,63.949,
160,27232,Greenland,1988,54797,9.962881,,28883.848,,64.4156,
161,27233,Greenland,1989,55321,8.54388,,30528.834,,64.6844,
162,27234,Greenland,1990,55616,11.228891,0.0,26805.578,100.0,63.7226,19.91
163,27235,Greenland,1991,55675,10.951074,0.0,26823.406,100.0,64.387,19.56
164,27236,Greenland,1992,55704,10.69223,0.0,25544.326,100.0,67.0471,19.01
165,27237,Greenland,1993,55729,9.792209,0.0,24303.924,100.0,65.8758,19.6
166,27238,Greenland,1994,55719,8.896696,0.06471212,25604.623,100.0,65.5307,19.31
167,27239,Greenland,1995,55807,9.570843,0.05394034,26416.545,100.0,65.5895,19.09
168,27240,Greenland,1996,55978,10.6602955,1.7967192,26772.643,100.0,65.8351,18.31
169,27241,Greenland,1997,56092,11.010733,7.9545045,27117.402,100.0,65.9126,17.73
170,27242,Greenland,1998,56146,10.630197,14.654448,29169.076,100.0,65.819,17.3
171,27243,Greenland,1999,56129,10.59153,21.602613,29570.992,100.0,66.7782,16.58
172,27244,Greenland,2000,56204,11.876468,31.74781,31614.652,100.0,67.4691,15.7
173,27245,Greenland,2001,56401,10.958777,35.464138,31930.629,100.0,68.1631,14.98
174,27246,Greenland,2002,56591,10.244049,44.15479,31475.854,100.0,68.8688,14.49
175,27247,Greenland,2003,56748,11.450236,54.53426,32779.914,100.0,69.6889,13.91
176,27248,Greenland,2004,56888,11.248822,56.099014,34953.984,100.0,69.4786,12.87
177,27249,Greenland,2005,56909,11.317876,57.703403,36681.844,100.0,69.1251,12.51
178,27250,Greenland,2006,56835,11.652222,59.361687,38829.58,100.0,69.7758,12.04
179,27251,Greenland,2007,56728,11.513821,61.07,39896.918,100.0,69.5847,11.62
180,27252,Greenland,2008,56600,11.974523,62.82,42527.71,100.0,70.3975,11.02
181,27253,Greenland,2009,56461,10.501992,62.83,42899.79,100.0,70.3486,10.69
